date,cbp_apprehensions,cbp_care,cbp_transfers_to_hhs,hhs_care,hhs_discharges,net_hhs_flow,report_day_of_week,days_since_previous_report,hhs_care_lag_1_reports,hhs_care_lag_7_reports,hhs_care_lag_14_reports,hhs_care_rolling_mean_7_reports,hhs_care_rolling_variance_7_reports,hhs_care_rolling_mean_14_reports,hhs_care_rolling_variance_14_reports,hhs_discharges_lag_1_reports,hhs_discharges_lag_7_reports,hhs_discharges_lag_14_reports,hhs_discharges_rolling_mean_7_reports,hhs_discharges_rolling_variance_7_reports,hhs_discharges_rolling_mean_14_reports,hhs_discharges_rolling_variance_14_reports,net_hhs_flow_lag_1_reports,net_hhs_flow_lag_7_reports,net_hhs_flow_lag_14_reports,net_hhs_flow_rolling_mean_7_reports,net_hhs_flow_rolling_variance_7_reports,net_hhs_flow_rolling_mean_14_reports,net_hhs_flow_rolling_variance_14_reports,day_of_week,month,is_weekend,is_us_federal_holiday,target_hhs_care_next_1_report,target_hhs_discharges_next_1_report,target_net_hhs_flow_next_1_report
2023-01-12,33.0,53.0,34.0,6566,436.0,-402.0,Thursday,0,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,7122.0,227.0,-188.0
2023-01-22,32.0,49.0,39.0,7122,227.0,-188.0,Sunday,10,6566.0,,,,,,,436.0,,,,,,,-402.0,,,,,,,6,1,1,0,7280.0,181.0,-142.0
2023-01-23,32.0,50.0,39.0,7280,181.0,-142.0,Monday,1,7122.0,,,,,,,227.0,,,,,,,-188.0,,,,,,,0,1,0,0,7433.0,175.0,-128.0
2023-01-24,47.0,42.0,47.0,7433,175.0,-128.0,Tuesday,1,7280.0,,,,,,,181.0,,,,,,,-142.0,,,,,,,1,1,0,0,7538.0,180.0,-139.0
2023-01-25,20.0,22.0,41.0,7538,180.0,-139.0,Wednesday,1,7433.0,,,,,,,175.0,,,,,,,-128.0,,,,,,,2,1,0,0,7472.0,303.0,-292.0
2023-01-29,23.0,45.0,11.0,7472,303.0,-292.0,Sunday,4,7538.0,,,,,,,180.0,,,,,,,-139.0,,,,,,,6,1,1,0,7743.0,196.0,-167.0
2023-01-30,34.0,54.0,29.0,7743,196.0,-167.0,Monday,1,7472.0,,,,,,,303.0,,,,,,,-292.0,,,,,,,0,1,0,0,7803.0,158.0,-122.0
2023-01-31,26.0,36.0,36.0,7803,158.0,-122.0,Tuesday,1,7743.0,6566.0,,7307.714285714285,145098.23809523802,,,196.0,436.0,,242.57142857142858,9291.619047619048,,,-167.0,-402.0,,-208.28571428571428,10381.57142857143,,,1,1,0,0,7903.0,231.0,-204.0
2023-02-01,25.0,32.0,27.0,7903,231.0,-204.0,Wednesday,1,7803.0,7122.0,,7484.428571428572,57860.28571428547,,,158.0,227.0,,202.85714285714286,2407.809523809525,,,-122.0,-188.0,,-168.28571428571428,3501.571428571431,,,2,2,0,0,7879.0,298.0,-275.0
2023-02-02,15.0,13.0,23.0,7879,298.0,-275.0,Thursday,1,7903.0,7280.0,,7596.0,50645.33333333296,,,231.0,181.0,,203.42857142857142,2442.285714285716,,,-204.0,-142.0,,-170.57142857142858,3643.285714285717,,,3,2,0,0,7586.0,342.0,-327.0
2023-02-05,16.0,18.0,15.0,7586,342.0,-327.0,Sunday,3,7879.0,7433.0,,7681.571428571428,38807.952380951814,,,298.0,175.0,,220.14285714285714,3523.1428571428582,,,-275.0,-128.0,,-189.57142857142858,4903.6190476190495,,,6,2,1,0,7720.0,196.0,-184.0
2023-02-06,11.0,22.0,12.0,7720,196.0,-184.0,Monday,1,7586.0,7538.0,,7703.428571428572,29474.95238095178,,,342.0,180.0,,244.0,4994.333333333333,,,-327.0,-139.0,,-218.0,6476.666666666668,,,0,2,0,0,7855.0,200.0,-180.0
2023-02-07,16.0,20.0,20.0,7855,200.0,-180.0,Tuesday,1,7720.0,7472.0,,7729.428571428572,24170.952380951727,,,196.0,303.0,,246.28571428571428,4689.571428571428,,,-184.0,-292.0,,-224.42857142857142,5580.952380952383,,,1,2,0,0,7915.0,317.0,-148.0
2023-02-08,93.0,196.0,169.0,7915,317.0,-148.0,Wednesday,1,7855.0,7743.0,,7784.142857142857,12261.476190475378,,,200.0,196.0,,231.57142857142858,4257.952380952382,,,-180.0,-167.0,,-208.42857142857142,4850.285714285716,,,2,2,0,0,7908.0,353.0,-192.0
2023-02-09,124.0,234.0,161.0,7908,353.0,-192.0,Thursday,1,7915.0,7803.0,6566.0,7808.714285714285,14128.904761903863,7558.214285714285,141066.64285714284,317.0,158.0,436.0,248.85714285714286,4914.809523809522,245.71428571428572,6567.450549450551,-148.0,-122.0,-402.0,-205.71428571428572,5164.238095238096,-207.0,7176.7692307692305,3,2,0,0,7434.0,317.0,-144.0
2023-02-12,92.0,203.0,173.0,7434,317.0,-144.0,Sunday,3,7908.0,7903.0,7122.0,7823.714285714285,15503.90476190382,7654.071428571428,64852.84065934074,353.0,231.0,227.0,276.7142857142857,4441.23809523809,239.78571428571428,4629.719780219782,-192.0,-204.0,-188.0,-215.71428571428572,3910.9047619047637,-192.0,4026.769230769231,6,2,1,0,7483.0,244.0,-72.0
