strategy,target,horizon_reports,model,observations,mae,rmse,mape_percent,wape_percent
strict_holdout,hhs_care,1,naive_persistence,141,10.304964539007091,14.075530802633574,0.45614668880309633,0.4586982188745004
strict_holdout,hhs_care,1,moving_average_7_reports,141,41.031408308004046,50.11070679307747,1.8312728117643717,1.8264045293461328
walk_forward,hhs_care,1,naive_persistence,25,21.08,40.74162490623073,0.4965417538031614,0.5781868849221588
walk_forward,hhs_care,1,moving_average_7_reports,25,111.39428571428573,186.41655352615936,2.9003816617773337,3.0553470140072005
strict_holdout,hhs_care,7,naive_persistence,140,56.90714285714286,69.68382677699118,2.5450057972155253,2.5347667422822764
strict_holdout,hhs_care,7,moving_average_7_reports,140,88.47448979591836,104.96054166267649,3.968182422058195,3.940844382893449
walk_forward,hhs_care,7,naive_persistence,24,172.0,292.92291363656295,4.684152396412571,4.747774480712167
walk_forward,hhs_care,7,moving_average_7_reports,24,254.52976190476193,418.97421807094923,7.188247092349213,7.025871559030072
strict_holdout,hhs_care,14,naive_persistence,139,112.23021582733813,131.81996661023055,5.044639383446398,5.002533334188467
strict_holdout,hhs_care,14,moving_average_7_reports,139,140.98766700924972,162.9021236632445,6.351280680428342,6.284363784957033
walk_forward,hhs_care,14,naive_persistence,24,313.7916666666667,549.2744835993507,9.260380476100066,8.819843770128942
walk_forward,hhs_care,14,moving_average_7_reports,24,381.97619047619054,653.7847934316376,11.684568731812599,10.736328213227509
strict_holdout,hhs_discharges,1,naive_persistence,141,5.638297872340425,7.654322470491396,62.49581442142429,44.46308724832215
strict_holdout,hhs_discharges,1,moving_average_7_reports,141,4.392097264437689,5.822145672231778,47.406182934495604,34.63566634707574
walk_forward,hhs_discharges,1,naive_persistence,25,18.24,26.898327085527086,68.10373818840077,28.53566958698373
walk_forward,hhs_discharges,1,moving_average_7_reports,25,13.548571428571428,21.079499664898332,42.82586323342304,21.196138029679958
strict_holdout,hhs_discharges,7,naive_persistence,140,6.035714285714286,7.846291207588826,60.01927453180244,47.41863075196409
strict_holdout,hhs_discharges,7,moving_average_7_reports,140,4.74795918367347,6.16515885224942,51.564766848128016,37.30158730158731
walk_forward,hhs_discharges,7,naive_persistence,24,24.708333333333332,38.695930018543294,65.60797189453176,39.3236074270557
walk_forward,hhs_discharges,7,moving_average_7_reports,24,16.49404761904762,24.398878501046795,77.9342863020669,26.25047366426677
strict_holdout,hhs_discharges,14,naive_persistence,139,5.906474820143885,7.736208429412263,56.317693027897334,46.54195011337868
strict_holdout,hhs_discharges,14,moving_average_7_reports,139,5.043165467625899,6.85830968147232,56.46586234500385,39.73922902494331
walk_forward,hhs_discharges,14,naive_persistence,24,18.458333333333332,29.3463512780266,50.193840397857,26.21301775147929
walk_forward,hhs_discharges,14,moving_average_7_reports,24,21.06547619047619,36.384625687157445,57.388931640913796,29.915469146238376
strict_holdout,net_hhs_flow,1,naive_persistence,141,7.673758865248227,9.745702817357778,190.90500001224876,109.62512664640325
strict_holdout,net_hhs_flow,1,moving_average_7_reports,141,5.802431610942249,7.512743070162117,111.00345201134591,82.89188015631784
walk_forward,net_hhs_flow,1,naive_persistence,25,24.84,35.61965749414219,265.0121390894997,142.10526315789474
walk_forward,net_hhs_flow,1,moving_average_7_reports,25,16.434285714285714,29.227552000096882,150.81074489233788,94.01765282772149
strict_holdout,net_hhs_flow,7,naive_persistence,140,7.478571428571429,9.726620320396128,180.4537764031059,107.27459016393443
strict_holdout,net_hhs_flow,7,moving_average_7_reports,140,6.331632653061224,8.349586676455218,125.42872797629944,90.82259953161591
walk_forward,net_hhs_flow,7,naive_persistence,24,38.333333333333336,65.19777603569005,136.07438658950505,109.26365795724466
walk_forward,net_hhs_flow,7,moving_average_7_reports,24,26.24404761904762,40.826026695997655,119.03585201584161,74.80488632507635
strict_holdout,net_hhs_flow,14,naive_persistence,139,7.956834532374101,10.802344536350171,177.13938554974376,113.90319258496395
strict_holdout,net_hhs_flow,14,moving_average_7_reports,139,7.437821171634122,9.782820030954186,147.5974922135998,106.47344416654407
walk_forward,net_hhs_flow,14,naive_persistence,24,26.625,43.50909866529835,180.63826989403555,115.55153707052442
walk_forward,net_hhs_flow,14,moving_average_7_reports,24,25.96428571428571,39.052881468854615,154.1942497432565,112.68406096615861
