strategy,target,horizon_reports,model,arima_order,seasonal_order,observations,mae,rmse,mape_percent,wape_percent
strict_holdout_sampled,hhs_care,1,"sarima_(0, 1, 1)x(1, 0, 1, 7)","(0, 1, 1)","(1, 0, 1, 7)",11,13.153117696166522,15.964203535622579,0.5719568275894099,0.580921443257977
walk_forward_sampled,hhs_care,1,"sarima_(0, 1, 1)x(1, 0, 1, 7)","(0, 1, 1)","(1, 0, 1, 7)",13,17.0705954147427,23.696621227820806,0.4515417704786527,0.46623332995431555
strict_holdout_sampled,hhs_care,7,"sarima_(0, 1, 1)x(1, 0, 1, 7)","(0, 1, 1)","(1, 0, 1, 7)",11,53.7045271059325,68.85100560628024,2.3594797470453903,2.37430086477737
walk_forward_sampled,hhs_care,7,"sarima_(0, 1, 1)x(1, 0, 1, 7)","(0, 1, 1)","(1, 0, 1, 7)",13,151.68162077547836,226.0450941866484,4.378432526950202,4.212568245596399
strict_holdout_sampled,hhs_care,14,"sarima_(0, 1, 1)x(1, 0, 1, 7)","(0, 1, 1)","(1, 0, 1, 7)",11,114.05767594852831,135.0646754143972,5.104907183656781,5.042337575089669
walk_forward_sampled,hhs_care,14,"sarima_(0, 1, 1)x(1, 0, 1, 7)","(0, 1, 1)","(1, 0, 1, 7)",13,259.97370072141115,462.85623332748224,8.183752783105723,7.324631259353602
strict_holdout_sampled,hhs_discharges,1,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",11,4.362349913821391,5.4261908054716255,47.17144102446825,34.27560646573951
walk_forward_sampled,hhs_discharges,1,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",13,15.827412425327667,21.192340545702518,58.39622994698086,23.041025927128743
strict_holdout_sampled,hhs_discharges,7,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",11,6.361776594574066,7.946228852456705,41.700352112732624,41.164436788420424
walk_forward_sampled,hhs_discharges,7,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",13,12.575008586002864,18.76647721274263,49.51350383660068,19.34616705538902
strict_holdout_sampled,hhs_discharges,14,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",11,5.351052434253449,6.520891285715178,68.34389726140157,49.882692183718596
walk_forward_sampled,hhs_discharges,14,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",13,19.334672170504458,32.11085259390178,68.26883941493092,29.675411831943087
strict_holdout_sampled,net_hhs_flow,1,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",11,5.356329844855645,7.807569713941632,162.091861510143,72.74028184371863
walk_forward_sampled,net_hhs_flow,1,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",13,16.278127283508546,26.173072081083756,153.48278849751202,143.95622767728645
strict_holdout_sampled,net_hhs_flow,7,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",11,7.339376108968555,9.386851148584617,95.77692983345983,94.9801614101813
walk_forward_sampled,net_hhs_flow,7,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",13,19.19199432751683,28.887584307831602,115.94438856017003,59.83115737595176
strict_holdout_sampled,net_hhs_flow,14,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",11,7.897290245010263,11.366072214120946,205.96420851741567,127.750283375166
walk_forward_sampled,net_hhs_flow,14,"sarima_(0, 1, 2)x(1, 0, 1, 7)","(0, 1, 2)","(1, 0, 1, 7)",13,16.4001288959546,22.632131060127527,134.02084899065974,72.51757675081967
